root:0
bin:1
daemon:2
mail:8
ftp:14
http:33
nobody:65534
dbus:81
systemd-journal-remote:982
systemd-network:981
systemd-resolve:980
systemd-timesync:979
systemd-coredump:978
uuidd:68
polkitd:102
gejza:1000
avahi:977
rtkit:133
sddm:976
usbmux:140
colord:975
ntp:87
mysql:974
git:973
cups:209
anna:1001
flatpak:970
gdm:120
geoclue:969
adam:1002
dnsmasq:968
brltty:967
saned:966
named:40
systemd-oom:964
nm-openvpn:963
openvpn:962
ldap:439
libvirt-qemu:960
tss:959
qemu:958
rabbitmq:197
systemd-journal-upload:957
fwupd:955
_talkd:954
passim:953
